id,source,source_match_id,match_key,match_date,match_timestamp,relative_time,match_type,game_type,map,hero,result,award,score_for,score_against,rank,rating_score,rank_delta,kills,deaths,assists,kda_reported,kda_calc,win_flag,loss_flag,draw_flag,raw_json,created_at,updated_at
826,tracker_saved_file,,tracker:aecbfbb6519f0c9a6a1ee6913efe4f19c9b618a3d921469c04f79eec85259f1c,2026-06-08,,1h ago,Competitive,,,Squirrel Girl,Win,MVP,,,Grandmaster Iii,,-116,22040,10264,9922,3.0,3.114,1,0,0,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Overview Stats - Marvel Rivals Tracker.mhtml"", ""block"": [""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""Competitive"", ""All Seasons"", ""Roles"", ""View All"", ""Vanguard"", ""Vanguard"", ""WR"", ""53.9%"", ""412 W"", ""KDA"", ""3.03"", ""18.1"", ""8.5"", ""7.8"", ""Duelist"", ""Duelist"", ""WR"", ""43.4%"", ""123 W"", ""KDA"", ""2.75"", ""23.3"", ""9.6"", ""3.0"", ""Strategist"", ""Strategist"", ""WR"", ""48.0%"", ""68 W"", ""KDA"", ""4.60"", ""11.3"", ""7.2"", ""21.7"", ""Top Heroes"", ""View All"", ""The Thing"", ""The Thing"", ""WR"", ""49.3%"", ""103 W"", ""106 L"", ""KDA"", ""3.11"", ""22.6"", ""10.2"", ""9.3"", ""Peni Parker"", ""Peni Parker"", ""WR"", ""63.4%"", ""153 W"", ""89 L"", ""KDA"", ""4.76"", ""17.6"", ""6.3"", ""12.3"", ""Squirrel Girl"", ""Squirrel Girl"", ""WR"", ""45.9%"", ""52 W"", ""62 L"", ""KDA"", ""2.83"", ""23.8"", ""9.3"", ""2.4"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""Competitive Overview"", ""1,195 Matches Played"", ""//"", ""234h Playtime"", ""More Stats"", ""Grandmaster III"", ""Grandmaster III"", ""Grandmaster III"", ""4,522"", ""RS"", ""\u2014"", ""Season Best"", ""Grandmaster II"", ""Grandmaster II"", ""4,663"", ""RS"", ""All-Time Best"", ""Grandmaster II // S8"", ""Grandmaster II // S8"", ""4,663"", ""RS"", ""Previous"", ""S7.5"", ""G3"", ""S7"", ""G3"", ""S6.5"", ""G3"", ""Last 10 Days"", ""-116"", ""Rating"", ""KDA Ratio"", ""3.11"", ""Win %"", ""50.7%"", ""Wins"", ""606"", ""MVP %"", ""19.31"", ""K/D Ratio"", ""2.15"", ""Kills"", ""22,040"", ""Deaths"", ""10,264"", ""Assists"", ""9,922"", ""Last Kills"", ""8,591"", ""SVP %"", ""16.64"", ""Damage"", ""20,873,742"", ""Healing"", ""4,005,431"", ""Damage Blocked"", ""28,537,118"", ""Max Kill Streak"", ""27"", ""MVPs"", ""117"", ""SVPs"", ""98"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Matches"", ""All Heroes"", ""Win Rate"", ""48.0%"", ""12 W"", ""13 L"", ""The Thing"", ""Picked"", ""15.1%"", ""209"", ""113"", ""75"", ""KDA"", ""2.94"", ""17.4"", ""8.6"", ""7.8"", ""Jun 4"", ""6"", ""3 W"", ""3 L"", ""Avg KDA"", ""4.02"", ""Thor"", ""1h ago""]}",2026-06-08 16:43:11,2026-06-08 16:43:11
825,tracker_saved_file,,tracker:febdb3810662ed6f05f6d822386836128b2969617163f334e90708459cf930a6,2026-06-08,,1h ago,Competitive,,,Peni Parker,Win,,,,,,,,,,3.0,,1,0,0,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Match History - Marvel Rivals Tracker.mhtml"", ""block"": [""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""Competitive"", ""S8: Sins of Alchemax"", ""Teammates"", ""View All"", ""Try custom leaderboards!"", ""Create"", ""_Ultron"", ""_Ultron"", ""153 Matches"", ""K/D Ratio"", ""2.65"", ""Win%"", ""48.4%"", ""Ronan The Accu"", ""Ronan The Accu"", ""69 Matches"", ""K/D Ratio"", ""2.08"", ""Win%"", ""52.2%"", ""BossMan Daniel"", ""BossMan Daniel"", ""3 Matches"", ""K/D Ratio"", ""0.82"", ""Win%"", ""33.3%"", ""Aachez"", ""Aachez"", ""2 Matches"", ""K/D Ratio"", ""7.09"", ""Win%"", ""100.0%"", ""BICHOTA."", ""BICHOTA."", ""2 Matches"", ""K/D Ratio"", ""3.27"", ""Win%"", ""100.0%"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Heroes"", ""Win Rate"", ""51.4%"", ""535 W"", ""505 L"", ""Peni Parker"", ""Picked"", ""16.3%"", ""9,077"", ""4,014"", ""4,475"", ""KDA"", ""3.13"", ""18.7"", ""8.6"", ""8.4"", ""Jun 4"", ""6"", ""3 W"", ""3 L"", ""Avg KDA"", ""4.02"", ""Thor"", ""1h ago""]}",2026-06-08 16:43:11,2026-06-08 16:43:11
824,tracker_saved_file,,tracker:640a719cf068254d62f89763c9b6a3fd4685b4ac4162c99f791590e4847a032f,2026-06-07,,1h ago,Competitive,,,Squirrel Girl,Win,MVP,,,Grandmaster Iii,,-116,22040,10264,9922,3.0,3.114,1,0,0,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Overview Stats - Marvel Rivals Tracker.mhtml"", ""block"": [""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""Competitive"", ""All Seasons"", ""Roles"", ""View All"", ""Vanguard"", ""Vanguard"", ""WR"", ""53.9%"", ""412 W"", ""KDA"", ""3.03"", ""18.1"", ""8.5"", ""7.8"", ""Duelist"", ""Duelist"", ""WR"", ""43.4%"", ""123 W"", ""KDA"", ""2.75"", ""23.3"", ""9.6"", ""3.0"", ""Strategist"", ""Strategist"", ""WR"", ""48.0%"", ""68 W"", ""KDA"", ""4.60"", ""11.3"", ""7.2"", ""21.7"", ""Top Heroes"", ""View All"", ""The Thing"", ""The Thing"", ""WR"", ""49.3%"", ""103 W"", ""106 L"", ""KDA"", ""3.11"", ""22.6"", ""10.2"", ""9.3"", ""Peni Parker"", ""Peni Parker"", ""WR"", ""63.4%"", ""153 W"", ""89 L"", ""KDA"", ""4.76"", ""17.6"", ""6.3"", ""12.3"", ""Squirrel Girl"", ""Squirrel Girl"", ""WR"", ""45.9%"", ""52 W"", ""62 L"", ""KDA"", ""2.83"", ""23.8"", ""9.3"", ""2.4"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""Competitive Overview"", ""1,195 Matches Played"", ""//"", ""234h Playtime"", ""More Stats"", ""Grandmaster III"", ""Grandmaster III"", ""Grandmaster III"", ""4,522"", ""RS"", ""\u2014"", ""Season Best"", ""Grandmaster II"", ""Grandmaster II"", ""4,663"", ""RS"", ""All-Time Best"", ""Grandmaster II // S8"", ""Grandmaster II // S8"", ""4,663"", ""RS"", ""Previous"", ""S7.5"", ""G3"", ""S7"", ""G3"", ""S6.5"", ""G3"", ""Last 10 Days"", ""-116"", ""Rating"", ""KDA Ratio"", ""3.11"", ""Win %"", ""50.7%"", ""Wins"", ""606"", ""MVP %"", ""19.31"", ""K/D Ratio"", ""2.15"", ""Kills"", ""22,040"", ""Deaths"", ""10,264"", ""Assists"", ""9,922"", ""Last Kills"", ""8,591"", ""SVP %"", ""16.64"", ""Damage"", ""20,873,742"", ""Healing"", ""4,005,431"", ""Damage Blocked"", ""28,537,118"", ""Max Kill Streak"", ""27"", ""MVPs"", ""117"", ""SVPs"", ""98"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Matches"", ""All Heroes"", ""Win Rate"", ""48.0%"", ""12 W"", ""13 L"", ""The Thing"", ""Picked"", ""15.1%"", ""209"", ""113"", ""75"", ""KDA"", ""2.94"", ""17.4"", ""8.6"", ""7.8"", ""Jun 4"", ""6"", ""3 W"", ""3 L"", ""Avg KDA"", ""4.02"", ""Thor"", ""1h ago""]}",2026-06-07 14:45:34,2026-06-07 14:45:34
823,tracker_saved_file,,tracker:794dd01bd531bb60b67ff9700b5b9bb83249cddbadb3666df4f3fe77084a4729,2026-06-07,,1h ago,Competitive,,,Peni Parker,Win,,,,,,,,,,3.0,,1,0,0,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Match History - Marvel Rivals Tracker.mhtml"", ""block"": [""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""Competitive"", ""S8: Sins of Alchemax"", ""Teammates"", ""View All"", ""Try custom leaderboards!"", ""Create"", ""_Ultron"", ""_Ultron"", ""153 Matches"", ""K/D Ratio"", ""2.65"", ""Win%"", ""48.4%"", ""Ronan The Accu"", ""Ronan The Accu"", ""69 Matches"", ""K/D Ratio"", ""2.08"", ""Win%"", ""52.2%"", ""BossMan Daniel"", ""BossMan Daniel"", ""3 Matches"", ""K/D Ratio"", ""0.82"", ""Win%"", ""33.3%"", ""Aachez"", ""Aachez"", ""2 Matches"", ""K/D Ratio"", ""7.09"", ""Win%"", ""100.0%"", ""BICHOTA."", ""BICHOTA."", ""2 Matches"", ""K/D Ratio"", ""3.27"", ""Win%"", ""100.0%"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Heroes"", ""Win Rate"", ""51.4%"", ""535 W"", ""505 L"", ""Peni Parker"", ""Picked"", ""16.3%"", ""9,077"", ""4,014"", ""4,475"", ""KDA"", ""3.13"", ""18.7"", ""8.6"", ""8.4"", ""Jun 4"", ""6"", ""3 W"", ""3 L"", ""Avg KDA"", ""4.02"", ""Thor"", ""1h ago""]}",2026-06-07 14:45:33,2026-06-07 14:45:33
822,tracker_saved_file,,tracker:7e750b6db87370e5b886f671971c1706d6eaf6b290dda1bda50a7fca64a522be,2026-06-06,,1h ago,Competitive,,,Squirrel Girl,Win,MVP,,,Grandmaster Iii,,-116,22040,10264,9922,3.0,3.114,1,0,0,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Overview Stats - Marvel Rivals Tracker.mhtml"", ""block"": [""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""Competitive"", ""All Seasons"", ""Roles"", ""View All"", ""Vanguard"", ""Vanguard"", ""WR"", ""53.9%"", ""412 W"", ""KDA"", ""3.03"", ""18.1"", ""8.5"", ""7.8"", ""Duelist"", ""Duelist"", ""WR"", ""43.4%"", ""123 W"", ""KDA"", ""2.75"", ""23.3"", ""9.6"", ""3.0"", ""Strategist"", ""Strategist"", ""WR"", ""48.0%"", ""68 W"", ""KDA"", ""4.60"", ""11.3"", ""7.2"", ""21.7"", ""Top Heroes"", ""View All"", ""The Thing"", ""The Thing"", ""WR"", ""49.3%"", ""103 W"", ""106 L"", ""KDA"", ""3.11"", ""22.6"", ""10.2"", ""9.3"", ""Peni Parker"", ""Peni Parker"", ""WR"", ""63.4%"", ""153 W"", ""89 L"", ""KDA"", ""4.76"", ""17.6"", ""6.3"", ""12.3"", ""Squirrel Girl"", ""Squirrel Girl"", ""WR"", ""45.9%"", ""52 W"", ""62 L"", ""KDA"", ""2.83"", ""23.8"", ""9.3"", ""2.4"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""Competitive Overview"", ""1,195 Matches Played"", ""//"", ""234h Playtime"", ""More Stats"", ""Grandmaster III"", ""Grandmaster III"", ""Grandmaster III"", ""4,522"", ""RS"", ""\u2014"", ""Season Best"", ""Grandmaster II"", ""Grandmaster II"", ""4,663"", ""RS"", ""All-Time Best"", ""Grandmaster II // S8"", ""Grandmaster II // S8"", ""4,663"", ""RS"", ""Previous"", ""S7.5"", ""G3"", ""S7"", ""G3"", ""S6.5"", ""G3"", ""Last 10 Days"", ""-116"", ""Rating"", ""KDA Ratio"", ""3.11"", ""Win %"", ""50.7%"", ""Wins"", ""606"", ""MVP %"", ""19.31"", ""K/D Ratio"", ""2.15"", ""Kills"", ""22,040"", ""Deaths"", ""10,264"", ""Assists"", ""9,922"", ""Last Kills"", ""8,591"", ""SVP %"", ""16.64"", ""Damage"", ""20,873,742"", ""Healing"", ""4,005,431"", ""Damage Blocked"", ""28,537,118"", ""Max Kill Streak"", ""27"", ""MVPs"", ""117"", ""SVPs"", ""98"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Matches"", ""All Heroes"", ""Win Rate"", ""48.0%"", ""12 W"", ""13 L"", ""The Thing"", ""Picked"", ""15.1%"", ""209"", ""113"", ""75"", ""KDA"", ""2.94"", ""17.4"", ""8.6"", ""7.8"", ""Jun 4"", ""6"", ""3 W"", ""3 L"", ""Avg KDA"", ""4.02"", ""Thor"", ""1h ago""]}",2026-06-06 14:23:35,2026-06-06 14:23:35
821,tracker_saved_file,,tracker:d2440a08302afc6419a5f5a3dde36a71f424ab0af6b4f39eac755242e8cb74fe,2026-06-06,,1h ago,Competitive,,,Peni Parker,Win,,,,,,,,,,3.0,,1,0,0,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Match History - Marvel Rivals Tracker.mhtml"", ""block"": [""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""Competitive"", ""S8: Sins of Alchemax"", ""Teammates"", ""View All"", ""Try custom leaderboards!"", ""Create"", ""_Ultron"", ""_Ultron"", ""153 Matches"", ""K/D Ratio"", ""2.65"", ""Win%"", ""48.4%"", ""Ronan The Accu"", ""Ronan The Accu"", ""69 Matches"", ""K/D Ratio"", ""2.08"", ""Win%"", ""52.2%"", ""BossMan Daniel"", ""BossMan Daniel"", ""3 Matches"", ""K/D Ratio"", ""0.82"", ""Win%"", ""33.3%"", ""Aachez"", ""Aachez"", ""2 Matches"", ""K/D Ratio"", ""7.09"", ""Win%"", ""100.0%"", ""BICHOTA."", ""BICHOTA."", ""2 Matches"", ""K/D Ratio"", ""3.27"", ""Win%"", ""100.0%"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Heroes"", ""Win Rate"", ""51.4%"", ""535 W"", ""505 L"", ""Peni Parker"", ""Picked"", ""16.3%"", ""9,077"", ""4,014"", ""4,475"", ""KDA"", ""3.13"", ""18.7"", ""8.6"", ""8.4"", ""Jun 4"", ""6"", ""3 W"", ""3 L"", ""Avg KDA"", ""4.02"", ""Thor"", ""1h ago""]}",2026-06-06 14:23:35,2026-06-06 14:23:35
820,tracker_saved_file,,tracker:745dfd4ddba2d68379cc1f2f83ec9cbdde34810f25e5af745b38fa9f90e9c481,2026-06-05,,1h ago,Competitive,,,Peni Parker,Win,,,,,,,,,,3.0,,1,0,0,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Match History - Marvel Rivals Tracker.mhtml"", ""block"": [""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""Competitive"", ""S8: Sins of Alchemax"", ""Teammates"", ""View All"", ""Try custom leaderboards!"", ""Create"", ""_Ultron"", ""_Ultron"", ""153 Matches"", ""K/D Ratio"", ""2.65"", ""Win%"", ""48.4%"", ""Ronan The Accu"", ""Ronan The Accu"", ""69 Matches"", ""K/D Ratio"", ""2.08"", ""Win%"", ""52.2%"", ""BossMan Daniel"", ""BossMan Daniel"", ""3 Matches"", ""K/D Ratio"", ""0.82"", ""Win%"", ""33.3%"", ""Aachez"", ""Aachez"", ""2 Matches"", ""K/D Ratio"", ""7.09"", ""Win%"", ""100.0%"", ""BICHOTA."", ""BICHOTA."", ""2 Matches"", ""K/D Ratio"", ""3.27"", ""Win%"", ""100.0%"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Heroes"", ""Win Rate"", ""51.4%"", ""535 W"", ""505 L"", ""Peni Parker"", ""Picked"", ""16.3%"", ""9,077"", ""4,014"", ""4,475"", ""KDA"", ""3.13"", ""18.7"", ""8.6"", ""8.4"", ""Jun 4"", ""6"", ""3 W"", ""3 L"", ""Avg KDA"", ""4.02"", ""Thor"", ""1h ago""]}",2026-06-05 02:35:30,2026-06-05 15:47:48
819,tracker_saved_file,,tracker:86b11b22314b309c4024142d4eba8b1beda3a5c928e24eeca2acea250622c440,2026-06-05,,25m ago,Competitive,Domination,Krakoa,Cloak & Dagger,Draw/Unknown,,2,1,Grandmaster Iii,,21,20,10,12,3.0,3.2,0,0,1,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Match History - Marvel Rivals Tracker.mhtml"", ""block"": [""Jeff The Land Shark"", ""25m ago"", ""Unknown"", ""Blood Hunt"", ""Blood-Night New York"", ""Jeff The Land Shark"", ""Kills"", ""666"", ""Deaths"", ""0"", ""Assists"", ""0"", ""KDA"", ""666.00"", ""Thor"", ""1h ago"", ""Competitive"", ""Domination"", ""Krakoa"", ""Score"", ""1h ago"", ""2"", "":"", ""1"", ""Thor"", ""Grandmaster III"", ""Grandmaster III"", ""4,522"", ""RS"", ""+21"", ""Kills"", ""20"", ""Deaths"", ""10"", ""Assists"", ""12"", ""KDA"", ""3.20"", ""Cloak & Dagger"", ""1h ago""]}",2026-06-05 02:02:17,2026-06-05 02:02:17
818,tracker_saved_file,,tracker:a524d007bc1cc46ae74d89a486cf432e0dd5913c6c11755921d5f8106a67623e,2026-06-05,,8m ago,Competitive,Convergence,Hall Of Djalia,Jeff The Land Shark,Draw/Unknown,,,,,,,5,5,0,6.0,1.0,0,0,1,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Match History - Marvel Rivals Tracker.mhtml"", ""block"": [""2,189"", ""Views"", ""BronxProjecTTV"", ""Ranger"", ""twitch Profile"", ""twitch"", ""Share your Profile"", ""Share"", ""Favorite"", ""Overview Matches Heroes Roles Encounters"", ""NEW"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""Upgrade to Premium for ad-free browsing."", ""All Modes"", ""Competitive"", ""Quick Match"", ""Arcade"", ""18v18 Annihilation"", ""Tournament"", ""Event"", ""All Seasons"", ""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""All Modes"", ""S8: Sins of Alchemax"", ""Teammates"", ""View All"", ""Try custom leaderboards!"", ""Create"", ""_Ultron"", ""_Ultron"", ""169 Matches"", ""K/D Ratio"", ""2.71"", ""Win%"", ""47.3%"", ""Ronan The Accu"", ""Ronan The Accu"", ""108 Matches"", ""K/D Ratio"", ""2.11"", ""Win%"", ""48.1%"", ""Xl beef"", ""Xl beef"", ""7 Matches"", ""K/D Ratio"", ""2.59"", ""Win%"", ""71.4%"", ""BossMan Daniel"", ""BossMan Daniel"", ""3 Matches"", ""K/D Ratio"", ""0.82"", ""Win%"", ""33.3%"", ""Aachez"", ""Aachez"", ""2 Matches"", ""K/D Ratio"", ""7.09"", ""Win%"", ""100.0%"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Heroes"", ""Win Rate"", ""44.0%"", ""11 W"", ""14 L"", ""The Thing"", ""Picked"", ""11.8%"", ""161"", ""88"", ""55"", ""KDA"", ""6.18"", ""41.9"", ""7.9"", ""7.0"", ""Jun 4"", ""8"", ""4 W"", ""4 L"", ""Avg KDA"", ""86.39"", ""The Punisher"", ""8m ago"", ""Quick Match"", ""Convergence"", ""Hall Of Djalia"", ""The Punisher"", ""Kills"", ""5"", ""Deaths"", ""5"", ""Assists"", ""0"", ""KDA"", ""1.00"", ""Jeff The Land Shark"", ""25m ago"", ""Unknown"", ""Blood Hunt"", ""Blood-Night New York"", ""Jeff The Land Shark"", ""Kills"", ""666"", ""Deaths"", ""0"", ""Assists"", ""0"", ""KDA"", ""666.00"", ""Thor"", ""1h ago""]}",2026-06-05 02:02:17,2026-06-05 02:02:17
817,tracker_saved_file,,tracker:8073494829a26fd3a8650bd52ca7c618cdeb89c2011833d48a27e31c5bd5b827,2026-06-05,,1h ago,Competitive,,,Squirrel Girl,Win,MVP,,,Grandmaster Iii,,-116,22040,10264,9922,3.0,3.114,1,0,0,"{""source_file"": ""imports/BronxProjecTTV's Marvel Rivals Overview Stats - Marvel Rivals Tracker.mhtml"", ""block"": [""S8: Sins of Alchemax"", ""S7.5: The Hunt is On"", ""S7: The Hunt is On"", ""S6.5: Night at the Museum"", ""S6: Night at the Museum"", ""S5.5: Love is a Battlefield"", ""S5: Love is a Battlefield"", ""S4.5: Heart of the Dragon"", ""S4: Heart of the Dragon"", ""S3.5: The Abyss Awakens"", ""S3: The Abyss Awakens"", ""S2.5: Hellfire Gala"", ""S2: Hellfire Gala"", ""S1.5: Eternal Night Falls"", ""S1: Eternal Night Falls"", ""S0: Dooms' Rise"", ""Competitive"", ""All Seasons"", ""Roles"", ""View All"", ""Vanguard"", ""Vanguard"", ""WR"", ""53.9%"", ""412 W"", ""KDA"", ""3.03"", ""18.1"", ""8.5"", ""7.8"", ""Duelist"", ""Duelist"", ""WR"", ""43.4%"", ""123 W"", ""KDA"", ""2.75"", ""23.3"", ""9.6"", ""3.0"", ""Strategist"", ""Strategist"", ""WR"", ""48.0%"", ""68 W"", ""KDA"", ""4.60"", ""11.3"", ""7.2"", ""21.7"", ""Top Heroes"", ""View All"", ""The Thing"", ""The Thing"", ""WR"", ""49.3%"", ""103 W"", ""106 L"", ""KDA"", ""3.11"", ""22.6"", ""10.2"", ""9.3"", ""Peni Parker"", ""Peni Parker"", ""WR"", ""63.4%"", ""153 W"", ""89 L"", ""KDA"", ""4.76"", ""17.6"", ""6.3"", ""12.3"", ""Squirrel Girl"", ""Squirrel Girl"", ""WR"", ""45.9%"", ""52 W"", ""62 L"", ""KDA"", ""2.83"", ""23.8"", ""9.3"", ""2.4"", ""AD"", ""Premium users don't see ads."", ""Upgrade for $3/mo Upgrade for $3/mo"", ""Competitive Overview"", ""1,195 Matches Played"", ""//"", ""234h Playtime"", ""More Stats"", ""Grandmaster III"", ""Grandmaster III"", ""Grandmaster III"", ""4,522"", ""RS"", ""\u2014"", ""Season Best"", ""Grandmaster II"", ""Grandmaster II"", ""4,663"", ""RS"", ""All-Time Best"", ""Grandmaster II // S8"", ""Grandmaster II // S8"", ""4,663"", ""RS"", ""Previous"", ""S7.5"", ""G3"", ""S7"", ""G3"", ""S6.5"", ""G3"", ""Last 10 Days"", ""-116"", ""Rating"", ""KDA Ratio"", ""3.11"", ""Win %"", ""50.7%"", ""Wins"", ""606"", ""MVP %"", ""19.31"", ""K/D Ratio"", ""2.15"", ""Kills"", ""22,040"", ""Deaths"", ""10,264"", ""Assists"", ""9,922"", ""Last Kills"", ""8,591"", ""SVP %"", ""16.64"", ""Damage"", ""20,873,742"", ""Healing"", ""4,005,431"", ""Damage Blocked"", ""28,537,118"", ""Max Kill Streak"", ""27"", ""MVPs"", ""117"", ""SVPs"", ""98"", ""1 month of Discord Nitro, on us!"", ""Enjoy 1 month of Discord Nitro, on us with Tracker XP!"", ""View Rules"", ""Dismiss"", ""Matches"", ""All Matches"", ""All Heroes"", ""Win Rate"", ""48.0%"", ""12 W"", ""13 L"", ""The Thing"", ""Picked"", ""15.1%"", ""209"", ""113"", ""75"", ""KDA"", ""2.94"", ""17.4"", ""8.6"", ""7.8"", ""Jun 4"", ""6"", ""3 W"", ""3 L"", ""Avg KDA"", ""4.02"", ""Thor"", ""1h ago""]}",2026-06-05 01:46:29,2026-06-05 15:47:48
